Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(usd),Score
79,2,1,1,1,Pardis,550000000.0,18333.33,3
95,2,1,1,1,Shahrake Qods,902500000.0,30083.33,3
123,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33,3
70,2,1,1,0,North Program Organization,2050000000.0,68333.33,2
87,2,1,1,1,Pardis,600000000.0,20000.0,3
54,2,1,1,0,Andisheh,493000000.0,16433.33,2
68,2,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67,3
136,3,1,1,1,Saadat Abad,11000000000.0,366666.67,3
95,2,1,1,1,Zafar,5000000000.0,166666.67,3
155,3,1,1,1,Narmak,6700000000.0,223333.33,3
140,3,1,1,1,West Ferdows Boulevard,6400000000.0,213333.33,3
93,2,1,1,1,Shahrake Gharb,7000000000.0,233333.33,3
87,2,1,1,1,Shahrake Shahid Bagheri,2500000000.0,83333.33,3
99,2,1,1,1,Moniriyeh,2277000000.0,75900.0,3
105,2,1,1,1,Saadat Abad,7150000000.0,238333.33,3
160,3,1,1,1,Velenjak,14945000000.0,498166.67,3
77,2,1,1,1,Amirieh,1771000000.0,59033.33,3
123,2,1,1,1,Pirouzi,4059000000.0,135300.0,3
110,2,1,1,1,Southern Janatabad,630000000.0,21000.0,3
100,2,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67,3
96,2,1,1,1,Zargandeh,7872000000.0,262400.0,3
67,2,1,1,0,Feiz Garden,2350000000.0,78333.33,2
68,2,1,1,1,West Ferdows Boulevard,2500000000.0,83333.33,3
110,2,1,1,1,West Ferdows Boulevard,3750000000.0,125000.0,3
129,2,1,1,1,West Ferdows Boulevard,5250000000.0,175000.0,3
109,2,1,1,1,West Ferdows Boulevard,4830000000.0,161000.0,3
130,3,1,1,0,ShahrAra,5000000000.0,166666.67,2
88,2,1,1,1,Gisha,4750000000.0,158333.33,3
113,3,1,1,0,Shahrake Gharb,7000000000.0,233333.33,2
110,2,1,1,1,Ray,2035000000.0,67833.33,3
98,2,1,1,1,Pardis,540000000.0,18000.0,3
150,3,1,1,1,Farmanieh,10000000000.0,333333.33,3
72,2,1,1,1,Shahran,2350000000.0,78333.33,3
100,2,1,1,1,Qasr-od-Dasht,3000000000.0,100000.0,3
122,3,1,1,1,Aqdasieh,7200000000.0,240000.0,3
215,3,1,1,1,Pakdasht,1750000000.0,58333.33,3
101,2,1,1,1,Railway,3300000000.0,110000.0,3
67,2,1,1,1,Punak,2800000000.0,93333.33,3
72,2,1,1,0,Punak,2200000000.0,73333.33,2
75,2,1,1,0,Punak,2200000000.0,73333.33,2
109,2,1,1,1,Shahran,3500000000.0,116666.67,3
122,2,1,1,1,Aqdasieh,7000000000.0,233333.33,3
72,2,1,1,1,Amirieh,1650000000.0,55000.0,3
74,2,1,1,1,Amirieh,1700000000.0,56666.67,3
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,3
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,3
74,2,1,1,1,Amirieh,1700000000.0,56666.67,3
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,3
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,3
300,3,1,1,0,Baghestan,1500000000.0,50000.0,2
110,2,1,1,1,West Ferdows Boulevard,3730000000.0,124333.33,3
70,2,1,1,1,Northern Janatabad,3050000000.0,101666.67,3
60,2,1,1,0,West Ferdows Boulevard,2000000000.0,66666.67,2
76,2,1,1,1,North Program Organization,2600000000.0,86666.67,3
148,3,1,1,1,Daryan No,5990000000.0,199666.67,3
75,2,1,1,1,North Program Organization,2300000000.0,76666.67,3
65,2,1,1,1,Southern Program Organization,2270000000.0,75666.67,3
140,3,1,1,1,Rudhen,4000000000.0,133333.33,3
110,2,1,1,1,West Pars,4000000000.0,133333.33,3
70,2,1,0,1,Afsarieh,1650000000.0,55000.0,2
128,3,1,1,1,Marzdaran,6700000000.0,223333.33,3
94,2,1,1,1,Parand,580000000.0,19333.33,3
130,2,1,1,1,Dorous,16900000000.0,563333.33,3
97,2,1,1,1,Pardis,510000000.0,17000.0,3
110,2,1,1,1,Shahran,3850000000.0,128333.33,3
150,3,1,1,1,Sadeghieh,6000000000.0,200000.0,3
137,3,1,1,1,ShahrAra,7200000000.0,240000.0,3
85,2,1,1,1,Parand,410000000.0,13666.67,3
85,2,1,1,1,Parand,545000000.0,18166.67,3
100,2,1,1,0,Parand,1280000000.0,42666.67,2
71,2,1,1,1,Punak,2800000000.0,93333.33,3
140,3,1,1,1,Gisha,11200000000.0,373333.33,3
136,3,1,1,0,Parand,750000000.0,25000.0,2
100,2,1,1,1,Lavizan,3300000000.0,110000.0,3
82,2,1,0,1,Shams Abad,3280000000.0,109333.33,2
120,3,1,1,1,Fatemi,4800000000.0,160000.0,3
139,3,1,1,1,Gisha,7300000000.0,243333.33,3
110,3,1,1,1,Keshavarz Boulevard,3950000000.0,131666.67,3
66,2,1,1,1,Salsabil,1725000000.0,57500.0,3
78,2,1,1,1,Kahrizak,780000000.0,26000.0,3
85,2,1,1,1,Shahryar,1419000000.0,47300.0,3
100,2,1,1,0,Qarchak,1200000000.0,40000.0,2
80,2,1,1,1,Northren Jamalzadeh,3600000000.0,120000.0,3
120,2,1,1,0,Shahryar,1200000000.0,40000.0,2
121,3,1,1,0,Ostad Moein,3300000000.0,110000.0,2
80,2,1,1,1,Azarbaijan,2800000000.0,93333.33,3
88,2,1,1,1,Railway,2860000000.0,95333.33,3
141,3,1,1,1,Persian Gulf Martyrs Lake,3810000000.0,127000.0,3
140,3,1,1,1,Persian Gulf Martyrs Lake,1790000000.0,59666.67,3
120,2,1,1,1,Persian Gulf Martyrs Lake,1530000000.0,51000.0,3
70,2,1,1,1,Punak,3500000000.0,116666.67,3
75,2,1,0,1,Heshmatieh,3000000000.0,100000.0,2
150,3,1,1,1,Saadat Abad,20000000000.0,666666.67,3
95,2,1,1,1,Golestan,950000000.0,31666.67,3
127,2,1,1,1,Southern Janatabad,6000000000.0,200000.0,3
123,3,1,1,1,Shahr-e-Ziba,3700000000.0,123333.33,3
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67,3
90,2,1,1,1,Punak,3050000000.0,101666.67,3
105,2,1,1,1,Pardis,605000000.0,20166.67,3
180,3,1,1,1,Pasdaran,9900000000.0,330000.0,3
120,3,1,0,1,Pirouzi,3700000000.0,123333.33,2
65,2,1,1,1,Feiz Garden,2500000000.0,83333.33,3
158,3,1,1,1,Farmanieh,10480000000.0,349333.33,3
144,3,1,1,1,Chardivari,7632000000.0,254400.0,3
144,3,1,1,1,Punak,7632000000.0,254400.0,3
130,3,1,1,1,Gheitarieh,12300000000.0,410000.0,3
245,3,1,1,1,Farmanieh,26950000000.0,898333.33,3
190,3,1,1,1,Kamranieh,24300000000.0,810000.0,3
63,2,1,1,1,Central Janatabad,3000000000.0,100000.0,3
75,2,1,1,1,East Ferdows Boulevard,2100000000.0,70000.0,3
88,2,1,0,1,Gholhak,4700000000.0,156666.67,2
108,2,1,1,1,Pasdaran,9180000000.0,306000.0,3
117,2,1,1,1,Islamshahr,1579500000.0,52650.0,3
200,3,1,1,1,Pasdaran,12000000000.0,400000.0,3
90,2,1,1,1,Central Janatabad,3780000000.0,126000.0,3
125,2,1,1,1,Heravi,8100000000.0,270000.0,3
140,3,1,1,1,Heravi,9100000000.0,303333.33,3
236,4,1,1,1,Gheitarieh,20000000000.0,666666.67,3
67,2,1,1,1,Central Janatabad,2750000000.0,91666.67,3
220,3,1,1,1,Heravi,15400000000.0,513333.33,3
100,2,1,1,1,Pasdaran,8000000000.0,266666.67,3
86,2,1,1,1,Pardis,580000000.0,19333.33,3
84,2,1,1,1,Pardis,560000000.0,18666.67,3
94,2,1,1,1,Heravi,4800000000.0,160000.0,3
113,2,1,1,1,Saadat Abad,7500000000.0,250000.0,3
71,2,1,1,1,Islamshahr,630000000.0,21000.0,3
70,2,1,1,0,Dehkade Olampic,2000000000.0,66666.67,2
200,3,1,1,1,Golestan,2400000000.0,80000.0,3
106,2,1,1,1,Golestan,1100000000.0,36666.67,3
320,4,1,1,1,Saadat Abad,24000000000.0,800000.0,3
114,2,1,1,1,West Pars,3820000000.0,127333.33,3
100,2,1,1,1,Punak,6000000000.0,200000.0,3
122,2,1,1,1,Saadat Abad,5800000000.0,193333.33,3
200,2,1,1,0,Damavand,3500000000.0,116666.67,2
154,3,1,1,1,Saadat Abad,12300000000.0,410000.0,3
210,3,1,1,1,Pasdaran,15750000000.0,525000.0,3
200,3,1,1,1,East Ferdows Boulevard,11000000000.0,366666.67,3
124,3,1,1,1,Pirouzi,3968000000.0,132266.67,3
83,2,1,1,1,Republic,1909000000.0,63633.33,3
270,4,1,1,1,Farmanieh,37800000000.0,1260000.0,3
104,2,1,1,1,East Ferdows Boulevard,5700000000.0,190000.0,3
150,3,1,1,1,Zaferanieh,10490000000.0,349666.67,3
103,3,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67,3
165,3,1,1,1,Gheitarieh,12300000000.0,410000.0,3
135,2,1,1,0,Gheitarieh,7400000000.0,246666.67,2
86,2,1,1,1,Saadat Abad,6200000000.0,206666.67,3
75,2,1,1,1,East Ferdows Boulevard,2350000000.0,78333.33,3
125,2,1,1,1,Shahrake Gharb,21500000000.0,716666.67,3
82,2,1,1,1,Qazvin Imamzadeh Hassan,1886000000.0,62866.67,3
58,2,1,1,1,Shahran,2200000000.0,73333.33,3
101,2,1,1,1,Beryanak,2323000000.0,77433.33,3
90,2,1,1,1,Niavaran,6800000000.0,226666.67,3
180,3,1,1,1,Farmanieh,20700000000.0,690000.0,3
132,3,1,1,1,Gheitarieh,6250000000.0,208333.33,3
81,2,1,1,1,Valiasr,1863000000.0,62100.0,3
153,3,1,1,1,Pasdaran,13000000000.0,433333.33,3
166,3,1,1,1,Qalandari,12500000000.0,416666.67,3
200,3,1,1,1,Pasdaran,17000000000.0,566666.67,3
113,2,1,1,1,Pasdaran,8500000000.0,283333.33,3
100,2,1,1,1,Valiasr,2300000000.0,76666.67,3
80,2,1,1,1,Central Janatabad,3350000000.0,111666.67,3
76,2,1,1,1,Jeyhoon,2000000000.0,66666.67,3
128,3,1,1,1,Punak,5700000000.0,190000.0,3
210,3,1,1,1,Shahrake Gharb,27000000000.0,900000.0,3
140,2,1,1,1,Shahrake Gharb,12600000000.0,420000.0,3
74,2,1,1,1,Amir Bahador,1702000000.0,56733.33,3
120,2,1,1,1,Pasdaran,7500000000.0,250000.0,3
120,2,1,1,1,Pasdaran,7500000000.0,250000.0,3
85,2,1,1,1,Ekhtiarieh,5000000000.0,166666.67,3
105,2,1,1,1,Pardis,700000000.0,23333.33,3
175,3,1,1,1,Farmanieh,15600000000.0,520000.0,3
170,3,1,1,1,Farmanieh,15350000000.0,511666.67,3
75,2,1,1,1,Parand,395000000.0,13166.67,3
160,3,1,1,1,Gheitarieh,15100000000.0,503333.33,3
93,2,1,1,1,Rudhen,1450000000.0,48333.33,3
75,2,1,1,1,Islamshahr,715000000.0,23833.33,3
86,2,1,1,0,Islamshahr,1200000000.0,40000.0,2
120,2,1,1,1,Southern Program Organization,4260000000.0,142000.0,3
95,2,1,1,1,Andisheh,1500000000.0,50000.0,3
70,2,1,1,0,West Ferdows Boulevard,2120000000.0,70666.67,2
75,2,1,1,0,East Ferdows Boulevard,2000000000.0,66666.67,2
81,2,1,0,1,Pardis,590000000.0,19666.67,2
75,2,1,1,1,East Ferdows Boulevard,2730000000.0,91000.0,3
106,2,1,1,0,East Ferdows Boulevard,3150000000.0,105000.0,2
115,2,1,1,1,East Ferdows Boulevard,4600000000.0,153333.33,3
100,2,1,1,1,Shahr-e-Ziba,3000000000.0,100000.0,3
118,2,1,1,1,East Ferdows Boulevard,4500000000.0,150000.0,3
116,2,1,1,1,East Ferdows Boulevard,5100000000.0,170000.0,3
76,2,1,1,1,Shahr-e-Ziba,2200000000.0,73333.33,3
74,2,1,1,0,East Ferdows Boulevard,2300000000.0,76666.67,2
96,2,1,1,1,Saadat Abad,4500000000.0,150000.0,3
87,2,1,1,1,Pardis,625000000.0,20833.33,3
155,3,1,1,1,Niavaran,17050000000.0,568333.33,3
160,3,1,1,1,Farmanieh,17600000000.0,586666.67,3
78,2,1,1,1,Shahr-e-Ziba,2250000000.0,75000.0,3
230,3,1,1,1,Niavaran,25300000000.0,843333.33,3
120,2,1,1,0,Saadat Abad,11700000000.0,390000.0,2
78,2,1,1,1,Southern Janatabad,3600000000.0,120000.0,3
