Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(usd),Score
136,3,1,1,1,Saadat Abad,11000000000.0,366666.67,3
155,3,1,1,1,Narmak,6700000000.0,223333.33,3
140,3,1,1,1,West Ferdows Boulevard,6400000000.0,213333.33,3
160,3,1,1,1,Velenjak,14945000000.0,498166.67,3
130,3,1,1,0,ShahrAra,5000000000.0,166666.67,2
113,3,1,1,0,Shahrake Gharb,7000000000.0,233333.33,2
150,3,1,1,1,Farmanieh,10000000000.0,333333.33,3
122,3,1,1,1,Aqdasieh,7200000000.0,240000.0,3
215,3,1,1,1,Pakdasht,1750000000.0,58333.33,3
88,3,0,0,1,Parand,560000000.0,18666.67,1
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,3
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,3
88,3,0,0,1,Parand,560000000.0,18666.67,1
114,3,1,1,1,Sattarkhan,5500000000.0,183333.33,3
151,3,1,1,1,Saadat Abad,10200000000.0,340000.0,3
300,3,1,1,0,Baghestan,1500000000.0,50000.0,2
148,3,1,1,1,Daryan No,5990000000.0,199666.67,3
140,3,1,1,1,Rudhen,4000000000.0,133333.33,3
128,3,1,1,1,Marzdaran,6700000000.0,223333.33,3
150,3,1,1,1,Sadeghieh,6000000000.0,200000.0,3
137,3,1,1,1,ShahrAra,7200000000.0,240000.0,3
140,3,1,1,1,Gisha,11200000000.0,373333.33,3
136,3,1,1,0,Parand,750000000.0,25000.0,2
120,3,1,1,1,Fatemi,4800000000.0,160000.0,3
139,3,1,1,1,Gisha,7300000000.0,243333.33,3
110,3,1,1,1,Keshavarz Boulevard,3950000000.0,131666.67,3
121,3,1,1,0,Ostad Moein,3300000000.0,110000.0,2
141,3,1,1,1,Persian Gulf Martyrs Lake,3810000000.0,127000.0,3
140,3,1,1,1,Persian Gulf Martyrs Lake,1790000000.0,59666.67,3
150,3,1,1,1,Saadat Abad,20000000000.0,666666.67,3
123,3,1,1,1,Shahr-e-Ziba,3700000000.0,123333.33,3
180,3,1,1,1,Pasdaran,9900000000.0,330000.0,3
120,3,1,0,1,Pirouzi,3700000000.0,123333.33,2
158,3,1,1,1,Farmanieh,10480000000.0,349333.33,3
144,3,1,1,1,Chardivari,7632000000.0,254400.0,3
144,3,1,1,1,Punak,7632000000.0,254400.0,3
130,3,1,1,1,Gheitarieh,12300000000.0,410000.0,3
245,3,1,1,1,Farmanieh,26950000000.0,898333.33,3
190,3,1,1,1,Kamranieh,24300000000.0,810000.0,3
200,3,1,1,1,Pasdaran,12000000000.0,400000.0,3
140,3,1,1,1,Heravi,9100000000.0,303333.33,3
236,4,1,1,1,Gheitarieh,20000000000.0,666666.67,3
220,3,1,1,1,Heravi,15400000000.0,513333.33,3
200,3,1,1,1,Golestan,2400000000.0,80000.0,3
320,4,1,1,1,Saadat Abad,24000000000.0,800000.0,3
154,3,1,1,1,Saadat Abad,12300000000.0,410000.0,3
210,3,1,1,1,Pasdaran,15750000000.0,525000.0,3
200,3,1,1,1,East Ferdows Boulevard,11000000000.0,366666.67,3
124,3,1,1,1,Pirouzi,3968000000.0,132266.67,3
270,4,1,1,1,Farmanieh,37800000000.0,1260000.0,3
150,3,1,1,1,Zaferanieh,10490000000.0,349666.67,3
103,3,1,1,1,West Ferdows Boulevard,3200000000.0,106666.67,3
165,3,1,1,1,Gheitarieh,12300000000.0,410000.0,3
180,3,1,1,1,Farmanieh,20700000000.0,690000.0,3
132,3,1,1,1,Gheitarieh,6250000000.0,208333.33,3
153,3,1,1,1,Pasdaran,13000000000.0,433333.33,3
166,3,1,1,1,Qalandari,12500000000.0,416666.67,3
200,3,1,1,1,Pasdaran,17000000000.0,566666.67,3
128,3,1,1,1,Punak,5700000000.0,190000.0,3
210,3,1,1,1,Shahrake Gharb,27000000000.0,900000.0,3
175,3,1,1,1,Farmanieh,15600000000.0,520000.0,3
170,3,1,1,1,Farmanieh,15350000000.0,511666.67,3
160,3,1,1,1,Gheitarieh,15100000000.0,503333.33,3
155,3,1,1,1,Niavaran,17050000000.0,568333.33,3
160,3,1,1,1,Farmanieh,17600000000.0,586666.67,3
230,3,1,1,1,Niavaran,25300000000.0,843333.33,3
170,3,1,1,1,Gheitarieh,15400000000.0,513333.33,3
175,3,1,1,1,Shahrake Gharb,22750000000.0,758333.33,3
115,3,1,1,1,Punak,4500000000.0,150000.0,3
140,3,1,1,1,Saadat Abad,10000000000.0,333333.33,3
130,3,1,1,1,Punak,6240000000.0,208000.0,3
121,3,1,1,1,Persian Gulf Martyrs Lake,3650000000.0,121666.67,3
140,3,1,1,1,Saadat Abad,15500000000.0,516666.67,3
145,3,1,1,1,Haft Tir,4700000000.0,156666.67,3
192,3,1,1,1,Marzdaran,12670000000.0,422333.33,3
164,3,1,1,1,Marzdaran,10000000000.0,333333.33,3
135,3,1,1,1,Pasdaran,8100000000.0,270000.0,3
170,3,1,1,1,Mahallati,9200000000.0,306666.67,3
130,3,1,1,1,Mahallati,5200000000.0,173333.33,3
265,3,1,1,1,Farmanieh,20000000000.0,666666.67,3
145,3,1,1,1,Pasdaran,15500000000.0,516666.67,3
165,3,1,1,1,Pasdaran,10500000000.0,350000.0,3
143,3,1,1,1,Gheitarieh,8860000000.0,295333.33,3
160,3,1,1,1,Gheitarieh,10000000000.0,333333.33,3
200,3,1,1,1,Pasdaran,16580000000.0,552666.67,3
350,3,1,1,1,Zaferanieh,52500000000.0,1750000.0,3
148,3,1,1,1,Ekhtiarieh,8400000000.0,280000.0,3
130,3,1,1,1,Central Janatabad,5300000000.0,176666.67,3
335,4,1,1,1,Saadat Abad,33500000000.0,1116666.67,3
320,4,1,1,1,Saadat Abad,40000000000.0,1333333.33,3
192,3,1,1,1,Saadat Abad,19500000000.0,650000.0,3
148,3,1,1,1,Saadat Abad,14800000000.0,493333.33,3
192,4,1,1,1,Saadat Abad,22000000000.0,733333.33,3
235,3,1,1,1,North Program Organization,16450000000.0,548333.33,3
225,3,1,1,1,Heravi,15750000000.0,525000.0,3
221,4,1,1,1,Saadat Abad,25000000000.0,833333.33,3
312,4,1,1,1,Farmanieh,45000000000.0,1500000.0,3
188,3,1,1,1,Ozgol,17672000000.0,589066.67,3
198,3,1,1,1,Farmanieh,27720000000.0,924000.0,3
170,3,1,1,1,Niavaran,18700000000.0,623333.33,3
200,3,1,1,1,Saadat Abad,12000000000.0,400000.0,3
101,3,1,1,1,Ekhtiarieh,6500000000.0,216666.67,3
179,3,1,1,1,Dorous,13800000000.0,460000.0,3
256,3,1,1,1,Dorous,18500000000.0,616666.67,3
140,3,1,1,1,Pasdaran,11800000000.0,393333.33,3
140,3,1,1,1,Punak,7700000000.0,256666.67,3
257,4,1,1,1,Persian Gulf Martyrs Lake,12850000000.0,428333.33,3
167,3,1,1,1,Punak,10688000000.0,356266.67,3
246,3,1,1,1,Ekhtiarieh,22500000000.0,750000.0,3
168,3,1,1,1,Gheitarieh,14000000000.0,466666.67,3
280,4,1,1,1,Saadat Abad,38500000000.0,1283333.33,3
180,3,1,1,1,Pasdaran,9900000000.0,330000.0,3
135,3,1,1,1,Abazar,6480000000.0,216000.0,3
400,5,1,1,0,Lavasan,85000000000.0,2833333.33,2
660,5,1,1,0,Lavasan,55000000000.0,1833333.33,2
180,3,1,1,1,East Ferdows Boulevard,9360000000.0,312000.0,3
164,3,1,1,1,East Ferdows Boulevard,9840000000.0,328000.0,3
213,3,1,1,1,East Ferdows Boulevard,14484000000.0,482800.0,3
300,3,1,1,1,Niavaran,55500000000.0,1850000.0,3
126,3,1,1,1,Ostad Moein,3000000000.0,100000.0,3
125,3,1,1,1,Saadat Abad,12500000000.0,416666.67,3
99,3,1,1,1,North Program Organization,4190000000.0,139666.67,3
129,3,1,1,1,Shahr-e-Ziba,4500000000.0,150000.0,3
245,3,1,1,1,Aqdasieh,36500000000.0,1216666.67,3
141,3,1,1,1,Pakdasht,1225000000.0,40833.33,3
155,3,1,1,1,Heravi,8600000000.0,286666.67,3
300,3,1,1,1,Farmanieh,55500000000.0,1850000.0,3
150,3,1,1,1,Karimkhan,7800000000.0,260000.0,3
133,3,1,1,1,Rudhen,2260000000.0,75333.33,3
117,3,1,1,1,East Ferdows Boulevard,4600000000.0,153333.33,3
200,3,1,1,1,Farmanieh,35000000000.0,1166666.67,3
134,3,1,1,1,Andisheh,1600000000.0,53333.33,3
191,3,1,1,1,Farmanieh,18145000000.0,604833.33,3
282,3,1,1,1,Farmanieh,36660000000.0,1222000.0,3
210,3,1,1,1,Farmanieh,23100000000.0,770000.0,3
135,3,1,1,1,Zaferanieh,11800000000.0,393333.33,3
320,4,1,1,1,Saadat Abad,40000000000.0,1333333.33,3
133,3,1,1,1,Sohanak,7448000000.0,248266.67,3
147,3,1,1,1,Ekhtiarieh,8400000000.0,280000.0,3
150,3,1,1,1,Saadat Abad,12000000000.0,400000.0,3
220,3,1,1,1,Ekhtiarieh,15000000000.0,500000.0,3
180,3,1,1,1,Aqdasieh,12600000000.0,420000.0,3
150,3,1,1,1,Narmak,8400000000.0,280000.0,3
235,3,1,1,1,Gheitarieh,24000000000.0,800000.0,3
145,3,1,1,1,Qalandari,13000000000.0,433333.33,3
135,3,1,1,1,Saadat Abad,11475000000.0,382500.0,3
300,4,1,1,1,Zaferanieh,42000000000.0,1400000.0,3
137,3,1,1,1,Zaferanieh,10000000000.0,333333.33,3
157,3,1,1,1,Zaferanieh,14800000000.0,493333.33,3
170,3,1,1,1,Zaferanieh,19000000000.0,633333.33,3
283,3,1,1,1,Zaferanieh,29700000000.0,990000.0,3
170,3,1,1,1,Farmanieh,18700000000.0,623333.33,3
230,3,1,1,1,Ekhtiarieh,19300000000.0,643333.33,3
200,3,1,1,1,Pasdaran,22000000000.0,733333.33,3
150,3,1,1,1,Pasdaran,13000000000.0,433333.33,3
415,5,1,1,1,Niavaran,53950000000.0,1798333.33,3
128,3,1,1,1,Ekhtiarieh,8960000000.0,298666.67,3
173,3,1,1,1,East Ferdows Boulevard,9515000000.0,317166.67,3
200,4,1,1,1,Saadat Abad,15000000000.0,500000.0,3
210,4,1,1,1,Saadat Abad,15500000000.0,516666.67,3
162,3,1,1,1,Shahrake Gharb,12150000000.0,405000.0,3
150,3,1,1,1,Ekhtiarieh,12000000000.0,400000.0,3
130,3,1,1,1,Pasdaran,11100000000.0,370000.0,3
135,3,1,0,1,Saadat Abad,8700000000.0,290000.0,2
165,3,1,1,1,Shahrake Gharb,14800000000.0,493333.33,3
150,3,1,1,1,Gheitarieh,9000000000.0,300000.0,3
180,3,1,1,1,East Ferdows Boulevard,9900000000.0,330000.0,3
170,3,1,1,1,Pasdaran,10800000000.0,360000.0,3
162,3,1,1,1,Pasdaran,7600000000.0,253333.33,3
150,3,1,1,1,Gheitarieh,12500000000.0,416666.67,3
245,3,1,1,1,Farmanieh,22050000000.0,735000.0,3
128,3,1,1,1,Gheitarieh,9300000000.0,310000.0,3
156,3,1,1,1,Abazar,9400000000.0,313333.33,3
171,3,1,1,1,Gheitarieh,14000000000.0,466666.67,3
190,3,1,1,1,Niavaran,24700000000.0,823333.33,3
165,3,1,1,1,Niavaran,17200000000.0,573333.33,3
235,3,1,1,1,Gheitarieh,26500000000.0,883333.33,3
121,3,1,1,1,Pardis,630000000.0,21000.0,3
100,3,1,1,1,Pardis,500000000.0,16666.67,3
157,3,1,1,1,Shahrake Gharb,18500000000.0,616666.67,3
145,3,1,1,1,Heravi,7541000000.0,251366.67,3
160,3,1,1,1,Velenjak,10700000000.0,356666.67,3
261,4,1,1,1,Zaferanieh,26000000000.0,866666.67,3
145,3,1,1,1,Zaferanieh,11000000000.0,366666.67,3
140,3,1,1,1,Saadat Abad,9800000000.0,326666.67,3
140,3,1,1,1,Dehkade Olampic,4400000000.0,146666.67,3
125,3,1,1,1,Persian Gulf Martyrs Lake,3750000000.0,125000.0,3
140,3,1,1,1,Persian Gulf Martyrs Lake,8500000000.0,283333.33,3
161,3,1,1,1,Persian Gulf Martyrs Lake,8350000000.0,278333.33,3
145,4,1,1,1,Persian Gulf Martyrs Lake,5100000000.0,170000.0,3
155,3,1,1,1,Shahrake Gharb,10000000000.0,333333.33,3
105,3,1,1,1,Shahr-e-Ziba,3600000000.0,120000.0,3
151,3,1,1,1,Shahrake Qods,1510000000.0,50333.33,3
200,3,1,1,1,Farmanieh,20000000000.0,666666.67,3
200,3,1,1,1,Niavaran,20000000000.0,666666.67,3
115,3,1,1,1,Gheitarieh,7485000000.0,249500.0,3
420,5,1,1,0,Andisheh,11000000000.0,366666.67,2
225,4,1,1,0,Andisheh,5500000000.0,183333.33,2
230,3,1,1,1,Heravi,13800000000.0,460000.0,3
147,3,1,1,1,Elahieh,11500000000.0,383333.33,3
145,3,1,1,1,Dezashib,12300000000.0,410000.0,3
161,3,1,1,1,Dorous,13000000000.0,433333.33,3
400,5,1,1,1,Ekhtiarieh,18500000000.0,616666.67,3
230,3,1,1,1,Farmanieh,23000000000.0,766666.67,3
170,3,1,1,1,Heravi,7950000000.0,265000.0,3
115,3,1,1,1,Farmanieh,8100000000.0,270000.0,3
175,3,1,1,1,Heravi,9450000000.0,315000.0,3
128,3,1,1,1,Heravi,6500000000.0,216666.67,3
200,4,1,1,1,Gheitarieh,14000000000.0,466666.67,3
105,3,1,1,1,Heravi,6000000000.0,200000.0,3
140,3,1,1,1,Ozgol,6300000000.0,210000.0,3
185,3,1,1,1,Zargandeh,9000000000.0,300000.0,3
400,3,1,1,0,Amirabad,2000000000.0,66666.67,2
175,3,1,1,1,Shahrake Gharb,9300000000.0,310000.0,3
125,3,1,1,1,Shahran,5550000000.0,185000.0,3
109,3,1,1,1,Feiz Garden,4230000000.0,141000.0,3
250,3,1,1,1,Niavaran,32500000000.0,1083333.33,3
140,3,1,1,1,Heravi,6800000000.0,226666.67,3
150,3,1,1,1,Beryanak,2800000000.0,93333.33,3
216,4,1,1,0,Andisheh,5700000000.0,190000.0,2
125,3,1,1,0,Parand,1300000000.0,43333.33,2
135,3,1,1,1,Qalandari,7500000000.0,250000.0,3
155,3,1,1,1,Gheitarieh,9800000000.0,326666.67,3
125,3,1,1,1,Punak,6300000000.0,210000.0,3
680,5,1,1,0,Ekhtiarieh,81600000000.0,2720000.0,2
210,3,1,1,1,Gheitarieh,14000000000.0,466666.67,3
145,3,1,1,1,Gheitarieh,11600000000.0,386666.67,3
171,3,1,1,1,Jordan,8900000000.0,296666.67,3
140,3,1,1,1,Jordan,7700000000.0,256666.67,3
