Area,Room,Parking,Warehouse,Elevator,Address,Price,Price(usd)
63,1,1,1,1,Shahran,1850000000.0,61666.67
60,1,1,1,1,Shahran,1850000000.0,61666.67
59,1,1,1,1,Shahran,2150000000.0,71666.67
54,2,1,1,0,Andisheh,493000000.0,16433.33
68,2,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67
64,1,1,1,1,Narmak,2100000000.0,70000.0
54,1,0,1,1,Narmak,1690000000.0,56333.33
63,1,0,1,0,Islamshahr,570000000.0,19000.0
64,2,0,1,0,Pirouzi,1450000000.0,48333.33
42,1,0,1,0,Pirouzi,1390000000.0,46333.33
65,1,1,1,1,Shahran,1880000000.0,62666.67
49,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
67,2,1,1,0,Feiz Garden,2350000000.0,78333.33
68,2,1,1,1,West Ferdows Boulevard,2500000000.0,83333.33
62,1,1,0,1,Water Organization,2150000000.0,71666.67
55,1,1,1,1,West Ferdows Boulevard,2150000000.0,71666.67
58,1,1,1,1,Saadat Abad,3400000000.0,113333.33
55,1,1,1,1,Saadat Abad,3850000000.0,128333.33
51,1,1,1,1,Gisha,2980000000.0,99333.33
60,1,1,1,1,Abbasabad,2460000000.0,82000.0
62,2,0,0,1,Ostad Moein,1450000000.0,48333.33
61,1,1,1,0,Punak,2030000000.0,67666.67
61,1,1,1,0,Punak,2030000000.0,67666.67
67,2,1,1,1,Punak,2800000000.0,93333.33
63,1,1,1,0,Punak,2200000000.0,73333.33
60,1,1,1,1,West Ferdows Boulevard,2450000000.0,81666.67
53,1,1,1,0,East Ferdows Boulevard,1920000000.0,64000.0
63,1,1,1,1,Punak,2150000000.0,71666.67
42,1,1,0,1,Shahran,1760000000.0,58666.67
63,1,1,1,1,Punak,2150000000.0,71666.67
42,1,1,0,1,Shahran,1760000000.0,58666.67
60,2,1,1,0,West Ferdows Boulevard,2000000000.0,66666.67
40,1,1,1,0,Pirouzi,1300000000.0,43333.33
65,2,1,1,1,Southern Program Organization,2270000000.0,75666.67
67,1,1,1,1,Punak,2300000000.0,76666.67
40,0,0,0,0,Shahrake Qods,248000000.0,8266.67
68,2,0,1,0,Pakdasht,430000000.0,14333.33
48,1,0,0,0,Jeyhoon,850000000.0,28333.33
66,2,1,1,1,Salsabil,1725000000.0,57500.0
44,1,1,1,0,Salsabil,1050000000.0,35000.0
50,1,0,1,0,Shahrake Qods,340000000.0,11333.33
40,0,0,0,0,Pakdasht,165000000.0,5500.0
66,2,0,1,0,Beryanak,1000000000.0,33333.33
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
65,2,1,1,1,Feiz Garden,2500000000.0,83333.33
63,2,1,1,1,Central Janatabad,3000000000.0,100000.0
65,1,1,1,0,Pirouzi,1750000000.0,58333.33
67,2,1,1,1,Central Janatabad,2750000000.0,91666.67
60,1,1,1,1,Punak,1750000000.0,58333.33
44,1,1,1,0,Andisheh,350000000.0,11666.67
68,1,1,1,1,Heravi,4115000000.0,137166.67
55,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
65,1,1,1,1,Southern Janatabad,3000000000.0,100000.0
48,1,1,1,1,West Ferdows Boulevard,1920000000.0,64000.0
58,1,1,1,1,East Ferdows Boulevard,1850000000.0,61666.67
58,2,1,1,1,Shahran,2200000000.0,73333.33
58,1,1,1,1,Ekbatan,2810000000.0,93666.67
62,1,1,1,1,Shahran,1850000000.0,61666.67
65,1,1,1,0,West Ferdows Boulevard,1930000000.0,64333.33
43,1,1,1,0,Northern Janatabad,1620000000.0,54000.0
53,1,1,1,1,East Ferdows Boulevard,1920000000.0,64000.0
55,1,1,1,1,West Ferdows Boulevard,1850000000.0,61666.67
63,1,1,0,0,Punak,2200000000.0,73333.33
64,2,1,1,1,Shahr-e-Ziba,2200000000.0,73333.33
60,1,1,1,1,Southern Janatabad,1950000000.0,65000.0
65,1,0,1,1,Southern Janatabad,2000000000.0,66666.67
60,1,1,1,0,Southern Janatabad,2280000000.0,76000.0
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
62,1,1,1,1,Southern Janatabad,2280000000.0,76000.0
65,1,1,1,1,Punak,2900000000.0,96666.67
59,2,1,1,1,Southern Janatabad,1900000000.0,63333.33
63,2,1,1,1,Southern Janatabad,2000000000.0,66666.67
60,2,1,1,1,Southern Janatabad,2200000000.0,73333.33
60,1,1,1,1,Southern Janatabad,2200000000.0,73333.33
65,1,1,1,1,Southern Janatabad,2000000000.0,66666.67
60,1,1,1,1,Southern Janatabad,2250000000.0,75000.0
60,1,1,1,1,Southern Janatabad,2250000000.0,75000.0
55,1,1,1,1,Shahr-e-Ziba,2490000000.0,83000.0
55,1,1,0,1,Shahr-e-Ziba,2020000000.0,67333.33
55,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
67,1,1,1,1,Saadat Abad,3400000000.0,113333.33
66,2,1,1,1,Ostad Moein,1585000000.0,52833.33
65,1,1,1,1,West Ferdows Boulevard,3900000000.0,130000.0
60,1,1,1,1,Persian Gulf Martyrs Lake,875000000.0,29166.67
68,1,1,1,1,Southern Program Organization,2630000000.0,87666.67
49,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
55,1,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
53,1,0,1,0,West Ferdows Boulevard,1640000000.0,54666.67
51,1,0,1,0,West Ferdows Boulevard,1550000000.0,51666.67
54,1,1,1,0,West Ferdows Boulevard,2130000000.0,71000.0
64,1,1,1,1,Ekbatan,3700000000.0,123333.33
48,1,0,1,0,Parastar,980000000.0,32666.67
62,1,1,1,1,Shahr-e-Ziba,2580000000.0,86000.0
66,1,1,0,1,Pirouzi,1850000000.0,61666.67
44,1,1,1,0,Pirouzi,880000000.0,29333.33
57,1,0,1,1,Parastar,1270000000.0,42333.33
61,1,0,1,0,Shahr-e-Ziba,1990000000.0,66333.33
68,1,1,1,1,Pirouzi,2450000000.0,81666.67
61,1,1,1,1,Shahran,1850000000.0,61666.67
68,2,1,1,1,West Ferdows Boulevard,2200000000.0,73333.33
64,1,1,1,1,Pardis,680000000.0,22666.67
55,1,1,1,1,Karoon,1570000000.0,52333.33
60,1,1,1,1,Northern Chitgar,295000000.0,9833.33
54,1,1,1,1,Jeyhoon,1500000000.0,50000.0
57,1,1,1,1,Feiz Garden,1880000000.0,62666.67
65,2,1,1,0,Feiz Garden,1960000000.0,65333.33
60,1,1,1,1,Shahran,1850000000.0,61666.67
51,1,1,1,0,Shahran,2020000000.0,67333.33
64,2,1,1,1,Saadat Abad,3200000000.0,106666.67
65,1,1,1,0,Saadat Abad,3250000000.0,108333.33
65,1,0,1,1,Lavizan,2650000000.0,88333.33
67,1,1,1,1,Southern Janatabad,3450000000.0,115000.0
66,2,1,1,1,Narmak,2510000000.0,83666.67
68,1,1,1,1,West Ferdows Boulevard,3570000000.0,119000.0
58,1,1,1,1,Punak,2650000000.0,88333.33
48,1,1,1,1,Punak,2250000000.0,75000.0
